Year ,Vaccinated Mortality Rate,Unvaccinated Mortality Rate
1974,10.1,10.3
1975,9.9,10.2
1976,9.8,10
1977,9.5,9.8
1978,9.3,9.8
1979,9.1,9.6
1980,8.8,9.4
1981,8.6,9.3
1982,8.3,9.3
1983,8.1,8.8
1984,8.1,9
1985,7.9,8.9
1986,7.7,8.7
1987,7.5,8.8
1988,7.2,8.5
1989,7.2,8.8
1990,7,8.6
1991,6.8,8.4
1992,6.8,8.5
1993,6.8,8.4
1994,6.6,8.3
1995,6.5,8.2
1996,6.4,8
1997,6.3,7.9
1998,6.1,7.8
1999,6,7.7
2000,5.8,7.5
2001,5.6,7.3
2002,5.4,7.2
2003,5.2,7
2004,5,6.8
2005,4.9,6.7
2006,4.7,6.6
2007,4.5,6.5
2008,4.3,6.3
2009,4.1,6.2
2010,4,6.1
2011,3.9,5.9
2012,3.7,5.8
2013,3.5,5.6
2014,3.5,5.5
2015,3.3,5.3
2016,3.2,5.3
2017,3.1,5.2
2018,3,5
2019,3,5
2020,3,4.9
2021,2.9,4.9
2022,2.9,4.9
2023,2.8,4.8
2024,2.8,4.7
