NCHS_-_Childhood_Mortality_Rates
Year,Death Rate
1900,"1,983.8"
1901,"1,695"
1902,"1,655.7"
1903,"1,542.1"
1904,"1,591.5"
1905,"1,498.9"
1906,"1,580"
1907,"1,468.3"
1908,"1,396.8"
1909,"1,348.9"
1910,"1,397.3"
1911,"1,176"
1912,"1,094.1"
1913,"1,193.4"
1914,"1,024.2"
1915,924.2
1916,"1,111.5"
1917,"1,066"
1918,"1,573.5"
1919,928
1920,987.2
1921,801.2
1922,742
1923,806.7
1924,683.2
1925,641
1926,723.4
1927,591
1928,647.5
1929,625.5
1930,563.6
1931,526.6
1932,461.9
1933,472.6
1934,507.7
1935,440.9
1936,439.8
1937,418.7
1938,383.8
1939,318.3
1940,289.6
1941,279.9
1942,243.4
1943,256.4
1944,233
1945,203
1946,181.5
1947,160.8
1948,160.1
1949,150.2
1950,139.4
1951,136.9
1952,141.1
1953,130
1954,118.3
1955,113.4
1956,110.2
1957,111.8
1958,111.7
1959,106.9
1960,109.1
1961,101.7
1962,99.2
1963,101.5
1964,98.5
1965,95.9
1966,96.4
1967,89.4
1968,89.6
1969,88
1970,84.5
1971,82.3
1972,80.4
1973,79
1974,73.3
1975,69.9
1976,68.8
1977,67.6
1978,67.9
1979,64.2
1980,63.9
1981,60.6
1982,58.2
1983,56.1
1984,52.2
1985,51.8
1986,52.4
1987,52.1
1988,51.5
1989,49.8
1990,46.8
1991,47.4
1992,43.5
1993,44.6
1994,42.7
1995,40.4
1996,38
1997,35.5
1998,34.1
1999,34.2
2000,32.4
2001,33.4
2002,31.4
2003,31.8
2004,30.3
2005,29.9
2006,29.1
2007,29.4
2008,29.3
2009,27.4
2010,26.5
2011,26.3
2012,26.3
2013,25.5
2014,24
2015,24.9
2016,25.3
2017,24.3
2018,24
